latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.08787,-123.04196,679.0,0,GMT,GMT

time,snowfall_sum (cm),precipitation_sum (mm),temperature_2m_mean (°F)
1994-12-01,18.90,27.60,31.4
1994-12-02,10.64,15.00,26.7
1994-12-03,0.28,0.30,14.8
1994-12-04,0.00,0.00,7.6
1994-12-05,0.00,0.00,10.7
1994-12-06,5.25,7.20,18.9
1994-12-07,4.34,5.80,21.5
1994-12-08,26.53,37.70,26.1
1994-12-09,0.77,0.80,27.4
1994-12-10,3.71,5.30,27.6
1994-12-11,2.94,5.40,32.6
1994-12-12,0.07,0.10,28.8
1994-12-13,0.00,0.00,22.7
1994-12-14,2.66,3.70,24.2
1994-12-15,8.61,12.40,29.2
1994-12-16,27.51,41.50,31.7
1994-12-17,14.98,47.30,34.6
1994-12-18,14.77,37.60,37.3
1994-12-19,28.98,61.10,36.6
1994-12-20,15.05,50.30,37.6
1994-12-21,5.46,10.80,35.6
1994-12-22,3.36,6.80,36.6
1994-12-23,0.21,0.50,37.6
1994-12-24,0.63,1.30,40.6
1994-12-25,7.00,11.40,33.1
1994-12-26,28.28,44.10,33.6
1994-12-27,11.41,31.40,35.1
1994-12-28,14.42,29.80,34.0
1994-12-29,0.00,0.00,28.5
1994-12-30,0.00,0.00,22.1
1994-12-31,0.00,0.00,17.0
1995-01-01,0.00,0.00,12.8
1995-01-02,0.00,0.00,5.8
1995-01-03,0.00,0.00,7.9
1995-01-04,0.00,0.00,7.7
1995-01-05,0.00,0.00,5.9
1995-01-06,0.00,0.00,8.5
1995-01-07,0.00,0.00,7.4
1995-01-08,13.86,31.40,17.8
1995-01-09,7.00,17.10,27.2
1995-01-10,10.22,21.70,33.5
1995-01-11,5.74,11.80,34.9
1995-01-12,5.46,11.30,35.4
1995-01-13,6.86,15.30,36.1
1995-01-14,3.36,9.70,35.2
1995-01-15,11.13,20.80,36.4
1995-01-16,1.54,3.10,35.3
1995-01-17,4.27,6.20,32.0
1995-01-18,21.56,40.20,32.8
1995-01-19,2.03,3.60,33.5
1995-01-20,0.00,0.00,29.2
1995-01-21,0.00,0.00,29.1
1995-01-22,0.00,0.00,26.7
1995-01-23,0.00,0.00,23.2
1995-01-24,0.00,0.00,25.1
1995-01-25,0.35,0.50,26.2
1995-01-26,2.03,4.00,31.1
1995-01-27,0.00,0.00,31.6
1995-01-28,2.03,5.60,29.3
1995-01-29,11.55,75.50,36.7
1995-01-30,5.74,21.70,37.9
1995-01-31,6.86,35.00,38.8
1995-02-01,7.42,31.50,38.0
1995-02-02,3.71,7.60,36.7
1995-02-03,3.71,9.30,37.8
1995-02-04,0.00,0.00,35.9
1995-02-05,0.00,5.20,41.7
1995-02-06,0.00,7.60,42.1
1995-02-07,0.00,0.00,36.6
1995-02-08,0.00,0.00,34.3
1995-02-09,0.00,0.00,36.3
1995-02-10,0.00,0.00,35.4
1995-02-11,0.00,0.00,33.4
1995-02-12,0.91,0.60,25.1
1995-02-13,0.00,0.00,11.6
1995-02-14,0.77,1.00,14.2
1995-02-15,14.84,21.00,18.6
1995-02-16,8.82,12.80,26.3
1995-02-17,31.71,48.90,30.0
1995-02-18,13.44,30.70,34.4
1995-02-19,6.23,26.30,38.6
1995-02-20,4.55,57.10,39.6
1995-02-21,0.63,1.90,38.6
1995-02-22,0.07,0.00,35.1
1995-02-23,0.00,0.00,36.7
1995-02-24,7.00,18.50,41.0
1995-02-25,2.87,7.40,37.4
1995-02-26,0.00,0.00,33.3
1995-02-27,0.00,0.00,23.7
1995-02-28,0.00,0.00,23.9
1995-03-01,0.00,0.00,22.8
1995-03-02,0.00,0.00,24.3
1995-03-03,0.00,0.00,27.1
1995-03-04,6.79,9.60,28.0
1995-03-05,0.14,0.10,18.0
1995-03-06,0.35,0.00,24.1
1995-03-07,0.00,0.00,24.3
1995-03-08,7.84,11.90,26.7
1995-03-09,14.35,39.90,33.2
1995-03-10,12.95,43.10,37.7
1995-03-11,11.83,35.70,38.7
1995-03-12,4.83,11.30,36.7
1995-03-13,9.31,17.70,36.0
1995-03-14,11.41,33.00,37.1
1995-03-15,7.49,16.80,37.3
1995-03-16,0.28,0.40,37.2
1995-03-17,0.14,0.20,39.4
1995-03-18,5.81,17.90,40.6
1995-03-19,5.46,15.30,38.1
1995-03-20,12.18,25.00,37.2
1995-03-21,24.08,36.30,36.0
1995-03-22,3.71,5.40,33.0
1995-03-23,0.42,0.50,33.2
1995-03-24,2.59,3.60,32.9
1995-03-25,0.00,0.00,30.7
1995-03-26,0.00,0.00,34.2
1995-03-27,0.00,0.00,40.3
1995-03-28,0.00,0.00,43.9
1995-03-29,0.00,0.00,44.8
1995-03-30,0.00,0.00,44.8
1995-03-31,0.00,0.00,45.9
1995-04-01,2.38,5.10,39.5
1995-04-02,0.63,1.60,38.7
1995-04-03,0.00,0.00,40.4
1995-04-04,4.27,15.20,42.9
1995-04-05,0.07,0.10,36.8
1995-04-06,8.75,14.90,36.9
1995-04-07,7.77,21.40,37.9
1995-04-08,7.91,15.60,37.8
1995-04-09,0.63,1.40,37.8
1995-04-10,4.27,6.30,35.9
1995-04-11,8.12,11.60,34.9
1995-04-12,0.21,0.30,36.4
1995-04-13,10.92,20.60,36.8
1995-04-14,3.08,5.00,34.3
1995-04-15,0.14,0.20,34.6
1995-04-16,0.00,0.00,38.7
1995-04-17,2.66,5.20,39.2
1995-04-18,3.50,6.30,37.4
1995-04-19,0.56,1.30,36.8
1995-04-20,0.00,0.00,38.6
1995-04-21,0.00,0.00,41.0
1995-04-22,0.00,0.00,46.0
1995-04-23,0.00,0.00,49.3
1995-04-24,0.00,0.00,47.9
1995-04-25,0.00,0.00,47.2
1995-04-26,0.00,0.00,49.1
1995-04-27,0.00,0.10,47.4
1995-04-28,0.00,0.00,49.1
1995-04-29,0.00,0.40,47.8
1995-04-30,1.05,5.80,43.8
1995-05-01,0.00,0.00,43.7
1995-05-02,0.77,10.40,45.0
1995-05-03,1.47,5.90,40.0
1995-05-04,0.00,0.00,43.4
1995-05-05,0.00,0.00,46.8
1995-05-06,0.00,0.00,49.1
1995-05-07,0.00,0.00,50.2
1995-05-08,0.00,0.00,51.2
1995-05-09,0.00,3.90,50.9
1995-05-10,0.63,18.20,46.3
1995-05-11,0.84,7.50,42.2
1995-05-12,0.00,0.10,41.9
1995-05-13,0.00,0.00,48.2
1995-05-14,0.00,0.00,54.6
1995-05-15,0.00,0.00,50.2
1995-05-16,0.00,0.50,49.8
1995-05-17,0.00,3.20,47.0
1995-05-18,0.00,0.00,44.4
1995-05-19,0.00,0.00,47.6
1995-05-20,0.00,0.00,49.7
1995-05-21,0.00,0.00,47.4
1995-05-22,0.00,0.00,52.3
1995-05-23,0.00,0.00,53.1
1995-05-24,0.00,0.10,55.9
1995-05-25,0.00,0.00,54.7
1995-05-26,0.00,0.00,60.2
1995-05-27,0.00,0.00,61.8
1995-05-28,0.00,0.00,61.5
1995-05-29,0.00,0.00,62.8
1995-05-30,0.00,0.00,61.1
1995-05-31,0.00,0.00,55.9
1995-06-01,0.00,0.00,57.9
1995-06-02,0.00,0.20,58.8
1995-06-03,0.00,0.40,57.3
1995-06-04,0.00,4.40,54.8
1995-06-05,0.70,15.10,45.9
1995-06-06,0.14,2.10,44.4
1995-06-07,0.00,1.00,54.7
1995-06-08,0.00,0.00,61.6
1995-06-09,0.00,0.00,64.1
1995-06-10,0.00,8.00,57.9
1995-06-11,0.00,14.50,50.0
1995-06-12,0.00,3.90,49.0
1995-06-13,0.42,12.80,45.6
1995-06-14,0.00,1.80,49.4
1995-06-15,0.00,0.10,57.9
1995-06-16,0.00,5.20,53.1
1995-06-17,0.00,13.90,47.7
1995-06-18,0.00,11.40,48.7
1995-06-19,0.00,3.30,49.2
1995-06-20,0.00,2.30,49.9
1995-06-21,0.00,0.10,52.3
1995-06-22,0.00,0.00,56.3
1995-06-23,0.00,0.00,59.7
1995-06-24,0.00,0.00,60.4
1995-06-25,0.00,0.00,59.1
1995-06-26,0.00,0.20,57.9
1995-06-27,0.00,0.00,63.0
1995-06-28,0.00,0.00,70.5
1995-06-29,0.00,0.00,73.3
1995-06-30,0.00,0.00,75.0
1995-07-01,0.00,0.00,72.4
1995-07-02,0.00,1.60,65.2
1995-07-03,0.00,3.90,56.9
1995-07-04,0.00,14.40,54.2
1995-07-05,0.00,2.00,53.8
1995-07-06,0.00,0.00,58.1
1995-07-07,0.00,1.00,60.0
1995-07-08,0.00,0.60,58.8
1995-07-09,0.00,11.50,62.9
1995-07-10,0.00,21.10,53.2
1995-07-11,0.00,2.30,52.6
1995-07-12,0.00,0.00,57.2
1995-07-13,0.00,0.10,58.5
1995-07-14,0.00,0.10,56.3
1995-07-15,0.00,0.00,63.2
1995-07-16,0.00,0.00,68.6
1995-07-17,0.00,0.00,73.2
1995-07-18,0.00,0.00,74.6
1995-07-19,0.00,0.00,75.7
1995-07-20,0.00,0.00,73.3
1995-07-21,0.00,1.00,65.9
1995-07-22,0.00,0.00,61.2
1995-07-23,0.00,3.20,61.1
1995-07-24,0.00,2.90,59.2
1995-07-25,0.00,10.60,57.3
1995-07-26,0.00,50.90,56.1
1995-07-27,0.00,3.10,53.5
1995-07-28,0.00,0.00,58.2
1995-07-29,0.00,8.60,51.9
1995-07-30,0.00,0.00,56.4
1995-07-31,0.00,0.00,59.5
1995-08-01,0.00,1.20,61.7
1995-08-02,0.00,0.30,59.6
1995-08-03,0.00,0.30,62.6
1995-08-04,0.00,0.00,64.5
1995-08-05,0.00,4.40,63.0
1995-08-06,0.00,16.90,52.4
1995-08-07,0.35,26.30,48.1
1995-08-08,0.00,8.20,52.7
1995-08-09,0.00,0.10,56.1
1995-08-10,0.00,4.10,62.5
1995-08-11,0.00,16.00,56.2
1995-08-12,0.00,13.20,51.5
1995-08-13,0.00,0.40,53.4
1995-08-14,0.00,6.40,54.2
1995-08-15,0.00,19.50,51.7
1995-08-16,0.00,5.40,50.7
1995-08-17,0.00,6.20,50.2
1995-08-18,0.00,4.80,50.6
1995-08-19,0.00,17.80,50.8
1995-08-20,0.00,0.10,54.8
1995-08-21,0.00,1.20,59.5
1995-08-22,0.00,0.90,57.1
1995-08-23,0.00,5.40,56.2
1995-08-24,0.00,6.60,51.4
1995-08-25,0.00,0.20,54.1
1995-08-26,0.00,0.20,57.8
1995-08-27,0.00,0.00,54.8
1995-08-28,0.00,0.00,58.1
1995-08-29,0.00,3.60,55.3
1995-08-30,0.00,0.10,55.4
1995-08-31,0.00,0.00,60.0
1995-09-01,0.00,0.00,62.6
1995-09-02,0.00,0.00,65.6
1995-09-03,0.00,0.00,68.6
1995-09-04,0.00,3.60,66.9
1995-09-05,0.00,8.00,58.4
1995-09-06,0.00,2.10,56.8
1995-09-07,0.00,0.00,62.9
1995-09-08,0.00,0.00,64.9
1995-09-09,0.00,0.00,64.4
1995-09-10,0.00,0.00,65.2
1995-09-11,0.00,0.00,61.9
1995-09-12,0.00,0.00,61.1
1995-09-13,0.00,0.00,66.8
1995-09-14,0.00,0.00,69.2
1995-09-15,0.00,0.00,68.8
1995-09-16,0.00,0.00,67.3
1995-09-17,0.00,0.00,63.8
1995-09-18,0.00,0.00,60.4
1995-09-19,0.00,2.90,59.2
1995-09-20,0.00,0.10,58.1
1995-09-21,0.00,0.00,59.3
1995-09-22,0.00,0.00,61.0
1995-09-23,0.00,0.00,63.8
1995-09-24,0.00,0.00,64.9
1995-09-25,0.00,0.00,60.5
1995-09-26,0.00,11.50,55.3
1995-09-27,0.00,8.20,51.0
1995-09-28,0.00,20.80,51.5
1995-09-29,0.00,0.20,50.7
1995-09-30,0.00,20.50,49.9
1995-10-01,0.00,1.20,45.9
1995-10-02,0.63,14.40,44.1
1995-10-03,0.42,10.20,46.8
1995-10-04,0.00,0.40,46.4
1995-10-05,0.00,1.10,46.5
1995-10-06,1.82,15.00,42.7
1995-10-07,0.00,1.30,42.7
1995-10-08,1.75,24.40,44.2
1995-10-09,1.33,25.20,42.5
1995-10-10,3.50,62.40,41.2
1995-10-11,2.94,19.60,39.8
1995-10-12,1.68,7.60,39.9
1995-10-13,6.79,25.80,38.9
1995-10-14,0.00,33.40,42.8
1995-10-15,0.00,3.30,46.5
1995-10-16,0.21,36.70,43.7
1995-10-17,7.28,31.20,40.7
1995-10-18,0.00,0.40,39.7
1995-10-19,0.00,0.10,34.6
1995-10-20,4.48,19.30,41.5
1995-10-21,3.50,12.10,39.3
1995-10-22,0.00,0.00,35.0
1995-10-23,2.38,5.30,37.0
1995-10-24,0.28,3.40,39.0
1995-10-25,11.76,36.90,38.9
1995-10-26,4.62,16.00,38.8
1995-10-27,0.00,0.10,36.8
1995-10-28,0.00,0.00,33.7
1995-10-29,0.00,0.00,29.6
1995-10-30,0.00,0.00,24.9
1995-10-31,0.00,0.00,21.5
1995-11-01,0.00,0.00,17.9
1995-11-02,0.00,0.00,19.7
1995-11-03,0.00,0.00,22.0
1995-11-04,4.90,7.50,30.0
1995-11-05,7.84,13.50,30.6
1995-11-06,1.75,3.30,29.2
1995-11-07,16.10,28.70,27.9
1995-11-08,2.31,92.80,38.4
1995-11-09,0.70,1.00,32.9
1995-11-10,3.78,5.30,26.8
1995-11-11,20.09,38.80,30.5
1995-11-12,4.06,10.30,34.6
1995-11-13,6.44,24.90,37.1
1995-11-14,0.00,40.60,41.3
1995-11-15,0.00,22.30,43.6
1995-11-16,0.21,1.40,41.1
1995-11-17,4.34,71.70,39.3
1995-11-18,2.80,44.80,38.9
1995-11-19,0.28,0.30,36.2
1995-11-20,0.00,0.00,31.7
1995-11-21,0.00,1.40,35.5
1995-11-22,1.33,17.70,39.9
1995-11-23,0.56,47.30,41.0
1995-11-24,2.31,20.60,40.8
1995-11-25,6.37,32.10,38.0
1995-11-26,6.02,11.40,36.1
1995-11-27,9.59,16.00,35.9
1995-11-28,7.70,33.10,36.0
1995-11-29,0.98,58.30,40.3
1995-11-30,9.73,24.50,36.6
1995-12-01,7.63,15.10,34.5
1995-12-02,13.79,20.20,30.4
1995-12-03,24.92,36.10,28.1
1995-12-04,18.69,27.60,26.9
1995-12-05,0.00,0.00,18.2
1995-12-06,0.35,0.00,15.8
1995-12-07,0.77,0.50,19.6
1995-12-08,0.00,0.00,2.7
1995-12-09,1.40,2.00,7.1
1995-12-10,19.74,69.50,21.0
1995-12-11,14.35,47.80,34.1
1995-12-12,8.05,23.40,35.6
1995-12-13,15.05,41.00,36.5
1995-12-14,21.14,34.40,35.0
1995-12-15,27.37,42.30,33.7
1995-12-16,3.15,5.60,33.7
1995-12-17,5.18,13.20,34.2
1995-12-18,10.64,30.10,36.6
1995-12-19,0.63,3.30,38.1
1995-12-20,0.00,0.00,38.7
1995-12-21,0.00,0.00,34.4
1995-12-22,0.00,0.00,35.7
1995-12-23,0.00,0.00,30.0
1995-12-24,0.00,0.00,24.9
1995-12-25,0.00,0.00,23.1
1995-12-26,0.00,0.00,20.8
1995-12-27,1.12,2.10,26.7
1995-12-28,1.26,3.90,30.2
1995-12-29,16.80,31.90,33.8
1995-12-30,3.57,9.20,35.8
1995-12-31,2.17,5.40,36.4
1996-01-01,0.98,3.10,33.4
1996-01-02,3.99,22.50,36.3
1996-01-03,7.56,22.60,37.3
1996-01-04,2.10,3.70,24.3
1996-01-05,0.00,0.00,11.9
1996-01-06,16.03,42.00,23.0
1996-01-07,7.77,33.40,35.0
1996-01-08,9.73,27.00,35.4
1996-01-09,20.23,48.50,36.0
1996-01-10,10.71,22.10,34.3
1996-01-11,17.43,42.70,37.4
1996-01-12,0.00,0.00,36.5
1996-01-13,11.20,25.50,35.9
1996-01-14,8.82,24.00,36.7
1996-01-15,23.66,56.80,36.9
1996-01-16,6.93,14.40,30.9
1996-01-17,0.07,0.10,20.5
1996-01-18,0.00,0.00,12.4
1996-01-19,0.00,0.00,11.1
1996-01-20,4.48,6.40,14.0
1996-01-21,2.59,3.70,14.3
1996-01-22,2.17,3.10,12.7
1996-01-23,6.30,9.00,20.1
1996-01-24,1.05,1.50,17.7
1996-01-25,0.21,0.30,13.8
1996-01-26,0.07,0.10,16.6
1996-01-27,0.00,0.00,11.0
1996-01-28,0.42,0.60,5.4
1996-01-29,0.00,0.00,-4.4
1996-01-30,0.00,0.00,-3.9
1996-01-31,0.00,0.00,2.7
1996-02-01,0.00,0.00,8.3
1996-02-02,0.00,0.00,8.8
1996-02-03,0.00,0.00,11.7
1996-02-04,7.21,10.50,21.8
1996-02-05,17.85,37.10,29.4
1996-02-06,18.41,43.80,34.8
1996-02-07,7.21,18.20,36.4
1996-02-08,6.79,22.00,37.7
1996-02-09,1.75,3.60,36.4
1996-02-10,0.00,0.00,30.4
1996-02-11,0.00,0.00,32.5
1996-02-12,0.00,0.00,38.5
1996-02-13,0.00,0.00,40.5
1996-02-14,0.00,0.00,39.6
1996-02-15,0.00,0.00,41.4
1996-02-16,0.00,0.00,42.6
1996-02-17,1.05,15.70,41.4
1996-02-18,15.96,67.40,38.7
1996-02-19,3.92,10.60,37.5
1996-02-20,13.51,24.60,36.2
1996-02-21,21.07,31.00,33.8
1996-02-22,6.30,9.00,27.9
1996-02-23,14.42,20.70,26.1
1996-02-24,0.35,0.60,25.2
1996-02-25,0.00,0.00,22.7
1996-02-26,0.00,0.00,19.2
1996-02-27,0.00,0.00,16.8
1996-02-28,0.00,0.00,15.7
1996-02-29,0.00,0.00,17.1
1996-03-01,0.00,0.00,26.6
1996-03-02,0.00,0.00,27.5
1996-03-03,3.92,5.60,26.8
1996-03-04,11.62,16.60,22.3
1996-03-05,0.00,0.00,19.4
1996-03-06,2.17,3.20,30.3
1996-03-07,2.38,4.00,31.5
1996-03-08,0.07,5.40,35.5
1996-03-09,0.00,24.40,44.4
1996-03-10,0.07,15.00,43.1
1996-03-11,3.36,23.60,40.7
1996-03-12,0.00,0.00,39.1
1996-03-13,0.00,0.00,38.9
1996-03-14,0.00,0.00,41.2
1996-03-15,2.03,7.20,38.7
1996-03-16,0.49,1.50,36.5
1996-03-17,0.49,1.00,36.0
1996-03-18,0.00,0.00,38.8
1996-03-19,5.81,13.80,41.0
1996-03-20,14.42,23.90,36.3
1996-03-21,1.26,3.40,37.5
1996-03-22,0.07,0.50,37.4
1996-03-23,0.35,1.40,38.9
1996-03-24,0.00,0.00,26.5
1996-03-25,0.00,0.00,26.9
1996-03-26,0.00,0.00,30.0
1996-03-27,0.00,0.20,31.3
1996-03-28,0.00,0.00,30.4
1996-03-29,0.49,1.40,32.6
1996-03-30,1.61,2.80,31.9
1996-03-31,2.73,5.10,33.5
1996-04-01,7.70,17.40,36.0
1996-04-02,4.55,8.80,33.0
1996-04-03,0.91,1.40,33.9
1996-04-04,0.07,1.50,37.1
1996-04-05,0.35,12.40,41.7
1996-04-06,0.00,26.60,42.9
1996-04-07,0.00,17.00,45.7
1996-04-08,0.00,0.80,47.3
1996-04-09,0.00,7.40,46.2
1996-04-10,0.00,4.50,42.4
1996-04-11,2.10,7.30,40.0
1996-04-12,7.77,16.30,38.7
1996-04-13,0.00,0.20,39.4
1996-04-14,0.00,0.00,40.7
1996-04-15,2.17,26.10,42.5
1996-04-16,4.55,23.50,40.4
1996-04-17,9.38,20.90,38.6
1996-04-18,5.88,12.80,38.2
1996-04-19,0.84,2.60,37.6
1996-04-20,0.00,0.70,40.1
1996-04-21,0.00,0.00,41.4
1996-04-22,3.22,13.80,43.0
1996-04-23,17.01,49.90,38.8
1996-04-24,7.98,25.60,38.1
1996-04-25,12.88,24.10,37.8
1996-04-26,12.53,22.70,36.1
1996-04-27,0.77,1.60,38.1
1996-04-28,0.70,1.60,39.0
1996-04-29,1.26,2.20,38.4
1996-04-30,0.00,0.00,40.5
1996-05-01,0.35,1.90,39.5
1996-05-02,1.05,2.90,37.4
1996-05-03,3.71,7.20,38.3
1996-05-04,0.07,0.10,39.2
1996-05-05,0.00,0.10,41.9
1996-05-06,1.47,4.20,41.6
1996-05-07,6.58,11.90,38.0
1996-05-08,4.97,8.10,37.4
1996-05-09,0.07,0.50,37.7
1996-05-10,0.28,0.80,39.9
1996-05-11,0.28,0.70,39.4
1996-05-12,0.77,3.20,43.0
1996-05-13,0.00,21.70,46.2
1996-05-14,0.00,4.80,44.5
1996-05-15,0.00,0.10,43.7
1996-05-16,0.00,0.00,43.4
1996-05-17,3.50,12.70,42.4
1996-05-18,5.88,30.50,39.9
1996-05-19,2.10,10.80,40.9
1996-05-20,0.77,5.30,40.9
1996-05-21,0.28,1.90,41.8
1996-05-22,2.31,11.20,41.6
1996-05-23,0.77,5.80,44.6
1996-05-24,0.00,0.00,49.6
1996-05-25,0.00,0.10,49.2
1996-05-26,0.00,0.00,47.2
1996-05-27,0.00,3.40,47.5
1996-05-28,0.35,7.60,44.1
1996-05-29,0.00,6.60,45.1
1996-05-30,0.00,3.60,44.0
1996-05-31,0.00,1.40,44.2
1996-06-01,0.00,0.00,47.3
1996-06-02,0.00,0.30,53.4
1996-06-03,0.00,2.60,51.9
1996-06-04,0.00,9.50,49.3
1996-06-05,0.00,2.00,46.7
1996-06-06,0.00,5.30,50.1
1996-06-07,0.00,0.00,49.3
1996-06-08,0.00,0.60,48.8
1996-06-09,0.07,8.20,45.1
1996-06-10,0.07,8.90,43.8
1996-06-11,0.56,11.30,43.7
1996-06-12,0.00,0.10,46.4
1996-06-13,0.00,0.10,49.2
1996-06-14,0.00,0.00,50.7
1996-06-15,0.00,2.90,50.0
1996-06-16,0.00,0.60,45.4
1996-06-17,1.05,6.50,46.7
1996-06-18,0.00,2.30,43.4
1996-06-19,0.00,0.30,48.9
1996-06-20,0.00,1.30,54.9
1996-06-21,0.00,2.40,53.6
1996-06-22,0.00,3.00,51.7
1996-06-23,0.00,2.40,50.0
1996-06-24,0.00,5.90,50.6
1996-06-25,0.00,1.20,52.6
